peak,soulder,off-peak,,,DLF,TLF,Ancillary,Pool fees,LRET,SRES,peak,ACT energy efficiency,,,peak rate,shoulder rate,off-peak rate
0.166480952,0.145503952,0.105324543,,,1.0089,1.0095,0.000269,0.000366,0.010715527,0.003906461,0.02300975,0.005364,,,0.063991,0.063991,0.0415
,,,,,,,,,,,,,,,0.04253,0.02346,0.00984
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.151476456,0.132406456,0.09587972
,,,,,,,,,,,,,,GST,0.166624102,0.145647102,0.105467692
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FORMULA:,,
,,,,,,,,,,,,,,,$F$2*$G$2*(P2+$H$2+$I$2)+$F$2*($J$2+$K$2)+$L$2+$M$2+P3,,