unit: c/kwh,c0,c1,c2,c3
2016-02-07T00:00:00+1:00:00 Sydney,,0.105324543,,0.105324543
2016-02-07T01:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T02:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T03:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T04:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T05:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T06:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T07:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T08:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T09:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T10:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T11:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T12:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T13:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T14:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T15:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T16:00:00+11:00 Sydney,,0.166480952,,0.105324543
2016-02-07T17:00:00+11:00 Sydney,,0.145503952,,0.105324543
2016-02-07T18:00:00+11:00 Sydney,,0.145503952,,0.105324543
2016-02-07T19:00:00+11:00 Sydney,,0.145503952,,0.105324543
2016-02-07T20:00:00+11:00 Sydney,,0.145503952,,0.105324543
2016-02-07T21:00:00+11:00 Sydney,,0.145503952,,0.105324543
2016-02-07T22:00:00+11:00 Sydney,,0.105324543,,0.105324543
2016-02-07T23:00:00+11:00 Sydney,,0.105324543,,0.105324543